a b c
33.3 0.87 0.06431189596204982
33.3 0.98 0.06970278124025878
33.3 1.09 0.0716797590893947
33.3 1.2 0.06792264933392561
33.3 1.3 0.06707683110437068
33.3 1.41 0.06318153426548964
33.3 1.52 0.0624023489656741
33.3 1.63 0.06568573315226629
33.3 1.74 0.0563206453988076
33.3 1.85 0.06071415610981412
33.3 1.96 0.05963123898063463
33.3 2.07 0.05178351461333862
33.3 2.17 0.06134849677154845
33.3 2.28 0.04898347850238302
33.3 2.39 0.0565820026986865
33.3 2.5 0.0503188639758123
 
35.5 0.0 0.019607843137255124
35.5 0.11 0.0318434338682314
35.5 0.22 0.05078118808028101
35.5 0.33 0.07581270414653127
35.5 0.43 0.09827013244669258
35.5 0.54 0.10951537014780727
35.5 0.65 0.09459093100105384
35.5 0.76 0.06380630555080763
35.5 0.87 0.053754898026386576
35.5 0.98 0.07686226689555026
35.5 1.09 0.08530728167214954
35.5 1.2 0.05957319861708078
35.5 1.3 0.05825375530881951
35.5 1.41 0.0770983834835082
35.5 1.52 0.05916716530416748
35.5 1.63 0.05834634860233007
35.5 1.74 0.06890713333048151
35.5 1.85 0.051000795030172276
35.5 1.96 0.06373024155128672
35.5 2.07 0.05376952582399133
35.5 2.17 0.05379667558855724
35.5 2.28 0.05752879711501004
35.5 2.39 0.04871020047192063
35.5 2.5 0.056641960865199195
 
37.7 0.0 0.019607843137254884
37.7 0.11 0.033641862867799126
37.7 0.22 0.05582848429689911
37.7 0.33 0.08474648151198234
37.7 0.43 0.10802419850475452
37.7 0.54 0.11162325800749942
37.7 0.65 0.08188620483115003
37.7 0.76 0.0493445595508669
37.7 0.87 0.06391456234150794
37.7 0.98 0.0968836315754891
37.7 1.09 0.07161140497066051
37.7 1.2 0.04922489484719144
37.7 1.3 0.0825002741293895
37.7 1.41 0.06807648204162778
37.7 1.52 0.050941895534002954
37.7 1.63 0.0799967188819143
37.7 1.74 0.04680178464100655
37.7 1.85 0.06992146037582479
37.7 1.96 0.053012045297467586
37.7 2.07 0.05917496524310065
37.7 2.17 0.059446978433939916
37.7 2.28 0.050236854386871706
37.7 2.39 0.05793756016596544
37.7 2.5 0.048406004052752055
 
39.9 0.0 0.019607843137254968
39.9 0.11 0.035236796900476965
39.9 0.22 0.059311213667740274
39.9 0.33 0.08838874391085835
39.9 0.43 0.10710746247786786
39.9 0.54 0.10000117807240898
39.9 0.65 0.0657661665995107
39.9 0.76 0.05177330393276392
39.9 0.87 0.08488076685257116
39.9 0.98 0.09089189585170228
39.9 1.09 0.05026469163770138
39.9 1.2 0.07229353147706599
39.9 1.3 0.08523745146873898
39.9 1.41 0.04594180537331928
39.9 1.52 0.0801359836566893
39.9 1.63 0.05529461584108533
39.9 1.74 0.06320719165312509
39.9 1.85 0.06286493673581246
39.9 1.96 0.0538766210368117
39.9 2.07 0.0628676426685451
39.9 2.17 0.04747765172973347
39.9 2.28 0.06210100131153596
39.9 2.39 0.04883712341767306
39.9 2.5 0.05434438176935668
 
42.1 0.0 0.019607843137255256
42.1 0.11 0.03536401720350647
42.1 0.22 0.05890953027158543
42.1 0.33 0.08538045186725744
42.1 0.43 0.09930888287274699
42.1 0.54 0.08852654034431924
42.1 0.65 0.0626100399676631
42.1 0.76 0.06500193682014738
42.1 0.87 0.08898298023277694
42.1 0.98 0.0702440171300961
42.1 1.09 0.056644887119052675
42.1 1.2 0.08535947378578011
42.1 1.3 0.06005775359884808
42.1 1.41 0.06386500922279711
42.1 1.52 0.07263722725116277
42.1 1.63 0.05104861043003723
42.1 1.74 0.07427355166918168
42.1 1.85 0.04680346420922343
42.1 1.96 0.07089901614793909
42.1 2.07 0.046004222932581426
42.1 2.17 0.06741225136536581
42.1 2.28 0.045808768164096986
42.1 2.39 0.05863840762033526
42.1 2.5 0.05227118801152421
 
44.4 0.0 0.019607843137255304
44.4 0.11 0.03458452876493787
44.4 0.22 0.05699166916213092
44.4 0.33 0.08205651997242086
44.4 0.43 0.09541957818652365
44.4 0.54 0.08748037998749315
44.4 0.65 0.06842259749114518
44.4 0.76 0.07030175924540018
44.4 0.87 0.07940840563050704
44.4 0.98 0.06491179757245431
44.4 1.09 0.07018708283783803
44.4 1.2 0.07279684694323772
44.4 1.3 0.057497230704530576
44.4 1.41 0.07457837750649446
44.4 1.52 0.05482073953185497
44.4 1.63 0.07035360128175482
44.4 1.74 0.052691937195514474
44.4 1.85 0.06777353209880833
44.4 1.96 0.04900730502828886
44.4 2.07 0.06584436577255111
44.4 2.17 0.04664156806133942
44.4 2.28 0.06171433753253856
44.4 2.39 0.049441918988855346
44.4 2.5 0.050751209621738416
 
46.6 0.0 0.019607843137255124
46.6 0.11 0.03428863537018188
46.6 0.22 0.056675406839321193
46.6 0.33 0.0824757903099505
46.6 0.43 0.09731267009094573
46.6 0.54 0.09094954650439391
46.6 0.65 0.07085657174223023
46.6 0.76 0.06762721572443307
46.6 0.87 0.07533479309677207
46.6 0.98 0.06974039838991125
46.6 1.09 0.07026463978874936
46.6 1.2 0.0664222781534058
46.6 1.3 0.06612661722169505
46.6 1.41 0.06594896282460562
46.6 1.52 0.06161123505279839
46.6 1.63 0.06365143795851082
46.6 1.74 0.05929021813979377
46.6 1.85 0.05894037801607969
46.6 1.96 0.05974546807816263
46.6 2.07 0.05245924648972326
46.6 2.17 0.05993302427807397
46.6 2.28 0.04908180598817708
46.6 2.39 0.05603095923046826
46.6 2.5 0.05267482888364018
 
48.8 0.0 0.01960784313725489
48.8 0.11 0.0340305250805175
48.8 0.22 0.056887125609793504
48.8 0.33 0.08467018039137769
48.8 0.43 0.10222836347315976
48.8 0.54 0.09631594960770658
48.8 0.65 0.07018185122563071
48.8 0.76 0.061909236551602895
48.8 0.87 0.07789668568099396
48.8 0.98 0.07488600767503754
48.8 1.09 0.06310382828644531
48.8 1.2 0.07164430163854067
48.8 1.3 0.06646264012676648
48.8 1.41 0.06283076928742602
48.8 1.52 0.06623240638195098
48.8 1.63 0.05884962617043851
48.8 1.74 0.06295380105149523
48.8 1.85 0.05794189220803552
48.8 1.96 0.0566241152794597
48.8 2.07 0.060116946319182865
48.8 2.17 0.050624140010976704
48.8 2.28 0.059119282034720395
48.8 2.39 0.050956039773600276
48.8 2.5 0.049159167293751284
 
51.0 0.0 0.019607843137254284
51.0 0.11 0.034486949476096096
51.0 0.22 0.05853347856165409
51.0 0.33 0.08800437395316663
51.0 0.43 0.10562078887408081
51.0 0.54 0.095646567381704
51.0 0.65 0.06585187908907371
51.0 0.76 0.06336815833095578
51.0 0.87 0.08168428649613063
51.0 0.98 0.07008819405677963
51.0 1.09 0.06589485614811359
51.0 1.2 0.07120160371735838
51.0 1.3 0.0640111438307882
51.0 1.41 0.06577145889652673
51.0 1.52 0.06312550993747641
51.0 1.63 0.06134702682487651
51.0 1.74 0.06107040346823992
51.0 1.85 0.05850510422115358
51.0 1.96 0.0572061024454073
51.0 2.07 0.05801816816722457
51.0 2.17 0.05297647218949741
51.0 2.28 0.055942942652967474
51.0 2.39 0.05310999992468724
51.0 2.5 0.04937917292206774
 
